S. No.,Customer Id,Sex,Age,Profile,Store,Product Id,Product Type,Model ID,Product Model,Model Age,RAM,Processor,Graphic,Battery,Price,Offer Number,Country,Area,City,Month,Year
61,10061,f,63,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,13,December,2013
62,10062,m,65,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,6,16,October,2013
63,10063,m,44,B,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,3,October,2013
64,10064,m,22,S,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,2,6,July,2013
65,10065,f,33,B,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,5,13,June,2013
66,10066,f,21,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,7,19,December,2013
67,10067,m,20,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,3,8,August,2013
68,10068,m,19,S,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,7,19,August,2013
69,10069,m,32,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,7,19,July,2013
70,10070,m,38,J,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,10,December,2013
71,10071,f,30,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,4,10,October,2013
72,10072,m,35,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,3,9,November,2013
73,10073,f,67,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,4,12,June,2013
74,10074,m,50,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,16,July,2013
75,10075,f,20,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,5,13,August,2013
76,10076,m,15,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,23,August,2013
77,10077,m,32,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,3,December,2013
78,10078,m,55,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,23,October,2013
79,10079,f,49,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,2,6,November,2013
80,10080,f,77,N,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,5,December,2013
81,10081,m,77,N,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,3,9,November,2013
82,10082,m,23,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,10,November,2013
83,10083,m,17,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,4,10,August,2013
84,10084,f,16,S,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,23,May,2013
85,10085,m,30,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,16,April,2013
86,10086,m,40,J,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,5,14,December,2013
87,10087,f,50,B,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,5,14,January,2013
88,10088,f,60,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,7,20,April,2013
89,10089,m,31,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,10,October,2013
90,10090,m,22,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,10,August,2013
91,10091,m,49,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,5,14,October,2013
92,10092,f,21,J,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,2,August,2013
93,10093,f,16,S,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,1,2,July,2013
94,10094,f,18,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,5,December,2013
95,10095,f,50,J,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,3,7,November,2013
96,10096,m,23,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,24,October,2013
97,10097,f,20,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,3,8,May,2013
98,10098,m,18,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,4,July,2013
99,10099,m,17,S,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,4,11,August,2013
100,10100,f,16,S,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,8,24,May,2013
101,10101,f,16,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,6,17,July,2014
102,10102,m,20,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,6,18,July,2014
103,10103,f,76,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,4,12,October,2014
104,10104,f,54,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,24,November,2014
105,10105,f,33,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,20,May,2014
106,10106,m,21,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,1,October,2014
107,10107,m,40,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,3,8,September,2014
108,10108,m,55,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,2,4,October,2014
109,10109,m,67,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,15,November,2014
110,10110,m,18,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,7,20,July,2014
111,10111,f,34,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,3,9,October,2014
112,10112,m,32,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,24,April,2014
113,10113,f,20,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,5,15,November,2014
114,10114,m,29,B,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,7,20,December,2014
115,10115,f,24,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,6,18,October,2014
116,10116,m,35,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,12,July,2014
117,10117,m,39,N,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,2,4,November,2014
118,10118,f,45,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,6,18,April,2014
119,10119,f,33,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,5,15,October,2014
120,10120,m,22,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,7,21,July,2014
121,10121,m,45,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,5,15,November,2014
122,10122,m,65,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,2,4,11,October,2014
123,10123,f,70,N,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,8,24,October,2014
124,10124,f,30,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,4,10,December,2014
125,10125,f,25,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,1,November,2014
126,10126,f,21,S,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,1,July,2014
127,10127,m,18,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,6,17,August,2014
128,10128,m,40,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,7,21,October,2014
129,10129,f,46,N,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,4,10,December,2014
130,10130,m,75,N,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,8,24,November,2014
131,10131,f,17,S,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,4,10,July,2014
132,10132,m,50,N,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,5,October,2014
133,10133,f,40,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,8,23,November,2014
134,10134,f,23,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,6,October,2014
135,10135,m,67,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,23,October,2014
136,10136,m,50,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,2,5,14,April,2014
137,10137,f,40,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,3,8,23,July,2014
138,10138,m,35,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,7,21,September,2014
139,10139,f,28,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,3,7,November,2014
140,10140,m,20,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,2,August,2014
141,10141,f,15,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,5,14,August,2014
142,10142,f,34,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,3,7,September,2014
143,10143,f,19,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,5,14,July,2014
144,10144,m,55,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,7,21,October,2014
145,10145,m,66,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,6,17,October,2014
146,10146,m,39,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,6,16,July,2014
147,10147,f,21,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,11,August,2014
148,10148,m,31,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,5,14,December,2014
149,10149,f,37,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,2,5,November,2014
150,10150,m,27,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,1,3,October,2014
151,10151,f,17,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,4,11,August,2014
152,10152,m,16,S,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,2,4,September,2014
153,10153,f,18,S,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,5,14,July,2014
154,10154,f,40,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,5,13,August,2014
155,10155,f,42,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,6,16,April,2014
156,10156,m,56,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,2,4,11,May,2014
157,10157,m,19,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,8,23,July,2014
158,10158,m,20,S,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,4,September,2014
159,10159,f,29,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,3,8,October,2014
160,10160,f,34,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,22,April,2014
161,10161,m,31,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,7,21,May,2014
162,10162,m,43,J,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,5,13,September,2014
163,10163,f,46,B,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,7,21,April,2014
164,10164,f,36,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,3,9,October,2014
165,10165,m,31,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,2,November,2014
166,10166,m,20,S,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,3,August,2014
167,10167,f,60,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,4,12,May,2014
168,10168,f,50,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,3,22,August,2014
169,10169,m,45,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,3,9,September,2014
170,10170,m,34,J,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,2,4,July,2014
171,10171,f,56,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,7,20,May,2014
172,10172,f,19,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,6,16,August,2014
173,10173,m,22,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,10,July,2014
174,10174,m,75,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,8,22,September,2014
175,10175,f,60,N,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,12,October,2014
176,10176,f,68,N,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,5,13,November,2014
177,10177,m,65,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,2,4,December,2014
178,10178,m,63,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,16,October,2014
179,10179,m,62,N,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,8,22,September,2014
180,10180,f,77,N,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,5,13,July,2014
181,10181,f,25,S,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,1,August,2014
182,10182,f,44,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,1,October,2014
183,10183,f,66,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,19,May,2014
184,10184,m,77,N,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,5,13,November,2014
185,10185,m,22,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,11,July,2014
186,10186,m,20,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,2,August,2014
187,10187,m,35,J,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,3,8,December,2014
188,10188,f,34,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,2,4,October,2014
189,10189,m,39,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,3,9,July,2014
190,10190,f,29,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,22,April,2014
191,10191,m,20,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,8,22,July,2014
192,10192,f,34,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,5,13,December,2014
193,10193,f,56,J,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,19,September,2014
194,10194,m,21,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,3,8,July,2014
195,10195,m,70,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,7,19,November,2014
196,10196,f,53,J,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,4,11,October,2014
197,10197,f,51,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,17,April,2014
198,10198,m,34,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,6,17,April,2014
199,10199,m,32,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,2,5,November,2014
200,10200,m,19,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,3,July,2014
201,10201,f,20,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,2,July,2015
202,10202,m,21,S,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,1,September,2015
203,10203,f,76,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,5,13,December,2015
204,10204,m,65,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,6,17,December,2015
205,10205,m,44,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,4,11,September,2015
206,10206,m,33,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,19,May,2015
207,10207,f,66,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,23,May,2015
208,10208,f,77,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,4,10,December,2015
209,10209,f,21,J,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,6,October,2015
210,10210,f,23,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,6,November,2015
211,10211,m,19,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,23,September,2015
212,10212,m,20,S,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,5,15,July,2015
213,10213,f,67,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,19,April,2015
214,10214,f,65,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,4,10,December,2015
215,10215,m,45,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,15,April,2015
216,10216,m,43,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,3,7,July,2015
217,10217,f,23,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,3,7,November,2015
218,10218,f,31,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,6,18,December,2015
219,10219,m,71,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,4,10,June,2015
220,10220,m,39,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,18,April,2015
221,10221,m,48,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,5,15,July,2015
222,10222,f,28,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,3,7,October,2015
223,10223,f,23,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,3,7,July,2015
224,10224,f,21,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,5,September,2015
225,10225,m,19,S,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,7,19,September,2015
226,10226,f,16,S,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,5,14,July,2015
227,10227,m,15,S,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,8,23,August,2015
228,10228,f,20,S,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,2,4,July,2015
229,10229,m,28,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,23,October,2015
230,10230,m,27,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,1,November,2015
231,10231,f,26,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,2,November,2015
232,10232,f,52,N,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,19,November,2015
233,10233,f,56,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,4,10,April,2015
234,10234,m,34,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,6,17,May,2015
235,10235,m,39,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,7,19,July,2015
